card_id,email,expiry_date,fine
1CRD,kspinks0@illinois.edu,2024-11-02,22.23
2CRD,aavieson1@independent.co.uk,2024-03-13,14.1
3CRD,lhazelgrove2@redcross.org,2023-08-13,24.91
4CRD,kalfonzo3@example.com,2024-09-24,10.76
5CRD,mlapish4@ustream.tv,2023-04-23,27.28
6CRD,tfetherston5@fotki.com,2023-11-17,19.92
7CRD,fbroun6@biblegateway.com,2023-04-15,20.32
8CRD,kboldero7@sourceforge.net,2023-12-19,13.52
9CRD,cabell8@freewebs.com,2023-10-11,22.23
10CRD,cstringfellow9@amazon.co.uk,2024-03-07,8.1
11CRD,dspuriera@mashable.com,2023-03-18,10.26
12CRD,gpayzeb@bizjournals.com,2024-01-10,29.85
13CRD,mroddiec@techcrunch.com,2023-11-25,0.15
14CRD,ttarrantd@ustream.tv,2023-03-14,2.68
15CRD,ekollase@pagesperso-orange.fr,2023-06-20,25.51
16CRD,bcurnessf@dyndns.org,2023-02-11,16.12
17CRD,bgellertg@seattletimes.com,2024-07-14,6.15
18CRD,pboddiceh@umn.edu,2023-05-07,4.39
19CRD,mtriplowi@guardian.co.uk,2024-08-09,26.11
20CRD,fnorledgej@apple.com,2022-11-26,12.0
21CRD,lsladerk@soup.io,2023-12-29,3.29
22CRD,wossultonl@addthis.com,2023-03-15,2.52
23CRD,mchrispm@4shared.com,2024-05-27,22.08
24CRD,pzipselln@w3.org,2023-12-03,27.13
25CRD,bmelvino@imageshack.us,2024-10-24,17.13
26CRD,codcroftp@cbsnews.com,2023-07-23,16.2
27CRD,ttzarq@usgs.gov,2023-05-29,16.74
28CRD,bfoulksr@mozilla.com,2023-01-06,4.1
29CRD,rvautreys@lulu.com,2023-03-01,10.61
30CRD,llongleyt@techcrunch.com,2024-10-05,13.26
31CRD,clardieru@behance.net,2024-02-15,26.25
32CRD,mbastonev@ovh.net,2024-06-21,5.21
33CRD,theggiew@google.es,2023-12-16,16.66
34CRD,lguttridgex@theglobeandmail.com,2023-12-06,28.67
35CRD,lgrebery@yelp.com,2024-01-03,4.46
36CRD,anewhamz@surveymonkey.com,2023-10-20,10.38
37CRD,vgrimsdell10@businessinsider.com,2023-07-12,26.54
38CRD,oocarrol11@goo.gl,2024-07-29,19.29
39CRD,aerrey12@sina.com.cn,2024-05-03,19.5
40CRD,dchilvers13@senate.gov,2024-04-15,17.01
41CRD,sguice14@sogou.com,2024-02-09,14.7
42CRD,pmasterman15@tuttocitta.it,2023-06-15,6.45
43CRD,vmccoll16@cam.ac.uk,2023-08-28,25.73
44CRD,lskilling17@elegantthemes.com,2024-02-05,9.54
45CRD,lpeploe18@odnoklassniki.ru,2023-07-09,9.56
46CRD,mhardiker19@ameblo.jp,2022-12-30,0.74
47CRD,borr1a@imageshack.us,2024-01-11,29.54
48CRD,kbrittle1b@timesonline.co.uk,2023-12-03,17.04
49CRD,abartley1c@soundcloud.com,2024-09-29,25.64
50CRD,tyoselevitch1d@sourceforge.net,2024-01-26,1.7
51CRD,cneild1e@sun.com,2023-02-05,26.17
52CRD,lcelloni1f@go.com,2023-10-20,17.06
53CRD,gsinkinson1g@ebay.com,2024-02-12,18.52
54CRD,ehaythorn1h@cnet.com,2024-01-22,11.37
55CRD,okuhlen1i@huffingtonpost.com,2023-10-27,8.05
56CRD,bromanin1j@ocn.ne.jp,2023-01-13,21.47
57CRD,sfeasby1k@shareasale.com,2024-06-02,14.41
58CRD,gdoctor1l@php.net,2024-04-10,4.0
59CRD,blohoar1m@com.com,2024-02-10,25.18
60CRD,cgeraldi1n@constantcontact.com,2023-05-04,26.29
61CRD,mpullman1o@paypal.com,2023-04-26,17.37
62CRD,cceliz1p@cnet.com,2022-12-07,14.69
63CRD,nbunkle1q@smugmug.com,2024-10-21,28.8
64CRD,ksoeiro1r@barnesandnoble.com,2024-10-21,13.43
65CRD,jazam1s@paypal.com,2023-02-07,21.53
66CRD,tlinch1t@sun.com,2023-07-05,20.95
67CRD,bjutson1u@engadget.com,2022-11-29,20.14
68CRD,glandeaux1v@mozilla.com,2023-10-24,16.89
69CRD,hbernard1w@forbes.com,2023-03-06,24.12
70CRD,wpennycord1x@aboutads.info,2023-12-06,25.42
71CRD,csiely1y@gnu.org,2024-02-03,4.97
72CRD,truseworth1z@phoca.cz,2024-06-10,28.66
73CRD,ajelk20@skyrock.com,2023-11-03,22.27
74CRD,vballchin21@geocities.jp,2024-01-10,6.49
75CRD,sanfosso22@networksolutions.com,2024-04-28,13.11
76CRD,opordall23@ihg.com,2023-12-07,8.67
77CRD,bmarousek24@blogs.com,2024-10-26,3.28
78CRD,lburman25@google.com.au,2022-12-18,12.19
79CRD,dalenichev26@wikia.com,2023-07-17,0.96
80CRD,crevens27@symantec.com,2023-12-20,5.76
81CRD,rrobken28@businessinsider.com,2023-07-05,21.52
82CRD,rstille29@i2i.jp,2024-07-17,14.25
83CRD,vkeyzor2a@bloglovin.com,2023-09-09,6.57
84CRD,wrevans2b@yahoo.com,2024-06-06,16.69
85CRD,pbayford2c@globo.com,2023-05-09,24.04
86CRD,emeharry2d@behance.net,2023-01-28,8.91
87CRD,ichown2e@zdnet.com,2024-05-01,5.41
88CRD,rlambart2f@php.net,2024-04-06,0.62
89CRD,aettery2g@chron.com,2023-05-18,9.33
90CRD,sbowton2h@bloomberg.com,2023-01-14,29.96
91CRD,ocurd2i@clickbank.net,2023-02-08,22.72
92CRD,certel2j@alibaba.com,2023-04-11,10.94
93CRD,ystratz2k@senate.gov,2023-01-05,19.76
94CRD,dchastanet2l@shutterfly.com,2024-01-22,13.52
95CRD,mlongmate2m@auda.org.au,2024-04-01,5.98
96CRD,dteall2n@vistaprint.com,2023-09-26,29.93
97CRD,dheisman2o@cmu.edu,2024-05-23,3.91
98CRD,eatlee2p@cpanel.net,2023-08-14,22.88
99CRD,apettet2q@ebay.co.uk,2023-01-22,1.09
100CRD,gswinfen2r@technorati.com,2024-05-04,0.43
101CRD,ldoge2s@vk.com,2024-02-01,25.65
102CRD,jzincke2t@a8.net,2024-01-11,22.05
103CRD,epetrolli2u@51.la,2023-08-10,23.05
104CRD,erichens2v@reverbnation.com,2023-07-29,1.88
105CRD,mhurleston2w@psu.edu,2024-07-09,16.02
106CRD,trodgerson2x@ucoz.com,2024-08-02,17.13
107CRD,bbrittain2y@merriam-webster.com,2023-01-10,26.22
108CRD,jgregorin2z@mayoclinic.com,2023-02-18,9.85
109CRD,skilfether30@ed.gov,2024-08-11,26.3
110CRD,mbenoiton31@addthis.com,2022-12-29,16.76
111CRD,sallderidge32@ucsd.edu,2022-12-26,21.09
112CRD,cwebbe33@pbs.org,2023-05-07,28.74
113CRD,vmountain34@ning.com,2023-10-16,21.52
114CRD,chague35@facebook.com,2023-09-11,7.42
115CRD,jmarczyk36@desdev.cn,2023-12-29,29.43
116CRD,wlitzmann37@berkeley.edu,2023-02-27,24.19
117CRD,eflacknoe38@yellowbook.com,2022-12-19,22.31
118CRD,opendreigh39@joomla.org,2024-04-06,7.29
119CRD,hpattini3a@washington.edu,2023-02-25,20.33
120CRD,kdorrell3b@wired.com,2023-01-15,23.64
121CRD,cbrazil3c@themeforest.net,2024-02-23,29.71
122CRD,dhallaways3d@istockphoto.com,2023-02-21,4.88
123CRD,rcoffelt3e@clickbank.net,2023-12-10,15.41
124CRD,cmorlon3f@ibm.com,2023-07-24,15.09
125CRD,jadriani3g@icq.com,2023-06-18,9.24
126CRD,bhowton3h@usatoday.com,2024-05-17,1.79
127CRD,adabels3i@ted.com,2023-12-08,27.2
128CRD,hsheehan3j@mail.ru,2023-09-09,29.5
129CRD,refford3k@businessweek.com,2023-08-29,1.74
130CRD,ybazire3l@behance.net,2023-03-12,21.04
131CRD,iduck3m@mediafire.com,2023-12-03,16.8
132CRD,jliggett3n@noaa.gov,2024-05-08,4.77
133CRD,kitzkovich3o@google.de,2022-12-04,27.36
134CRD,mlangdridge3p@studiopress.com,2024-10-31,1.48
135CRD,fbalint3q@printfriendly.com,2022-12-14,16.64
136CRD,ghughlock3r@last.fm,2023-07-29,20.12
137CRD,anutten3s@xing.com,2023-07-17,25.2
138CRD,jgaraghan3t@behance.net,2024-04-29,22.08
139CRD,mtalby3u@github.io,2023-05-27,9.15
140CRD,cgiscken3v@skype.com,2024-04-23,16.65
141CRD,btroup3w@ucsd.edu,2023-08-24,15.1
142CRD,ggiron3x@mapquest.com,2023-06-26,8.93
143CRD,mconneely3y@joomla.org,2024-09-09,15.01
144CRD,bmollatt3z@yolasite.com,2024-09-01,7.26
145CRD,ywestwell40@gov.uk,2024-07-13,19.93
146CRD,mmatteris41@bandcamp.com,2024-02-22,21.32
147CRD,kzanetello42@so-net.ne.jp,2024-02-24,20.47
148CRD,kcollumbell43@flavors.me,2024-10-20,23.46
149CRD,knurse44@zdnet.com,2024-03-06,12.83
150CRD,wkock45@infoseek.co.jp,2024-09-28,28.48
151CRD,mde46@umich.edu,2023-05-05,20.03
152CRD,sforkan47@indiatimes.com,2024-05-22,3.41
153CRD,gmacginlay48@vk.com,2023-09-21,19.75
154CRD,hfrusher49@google.ca,2023-05-03,26.18
155CRD,jheaney4a@omniture.com,2023-04-27,22.45
156CRD,baudas4b@ucoz.com,2023-10-30,21.23
157CRD,ilunt4c@craigslist.org,2024-05-04,26.39
158CRD,tkrolle4d@vimeo.com,2024-08-31,23.43
159CRD,pkemble4e@opera.com,2024-02-25,16.39
160CRD,jbloys4f@miibeian.gov.cn,2024-06-30,2.6
161CRD,mdargue4g@livejournal.com,2024-03-14,13.84
162CRD,fmalin4h@google.cn,2024-08-25,19.21
163CRD,msprason4i@theguardian.com,2024-05-09,27.3
164CRD,oegdal4j@google.ca,2024-03-21,4.0
165CRD,wcurling4k@spotify.com,2023-11-20,4.86
166CRD,dchristescu4l@dailymail.co.uk,2024-06-12,16.39
167CRD,npowles4m@springer.com,2024-08-17,2.56
168CRD,lbubear4n@bluehost.com,2024-08-10,21.49
169CRD,eroff4o@github.com,2024-09-09,10.14
170CRD,mbartoszinski4p@virginia.edu,2023-03-02,28.02
171CRD,gdurtnel4q@woothemes.com,2024-10-25,6.67
172CRD,bskaid4r@livejournal.com,2024-05-07,21.44
173CRD,fmuckle4s@github.com,2024-02-11,7.58
174CRD,gsalack4t@addtoany.com,2024-08-14,2.86
175CRD,rwarrell4u@mit.edu,2024-09-05,23.44
176CRD,kdallaway4v@wix.com,2023-05-26,27.37
177CRD,ajunkinson4w@zimbio.com,2024-05-03,22.69
178CRD,hbolland4x@mozilla.org,2024-10-04,10.07
179CRD,bloxton4y@wired.com,2022-11-26,1.68
180CRD,fshearman4z@mit.edu,2024-07-07,15.17
181CRD,rpauly50@ifeng.com,2023-10-07,4.11
182CRD,dblind51@google.fr,2023-10-18,26.37
183CRD,ltorregiani52@twitpic.com,2024-07-10,13.97
184CRD,btesche53@accuweather.com,2024-10-25,10.08
185CRD,jgaspero54@google.co.uk,2024-11-08,19.94
186CRD,svarden55@sbwire.com,2022-12-21,22.81
187CRD,asaunder56@cdbaby.com,2023-01-24,17.33
188CRD,nscrannage57@list-manage.com,2024-01-06,8.45
189CRD,blockwood58@weather.com,2023-08-17,2.39
190CRD,lfairpool59@shutterfly.com,2023-03-18,5.21
191CRD,iminerdo5a@ucoz.com,2024-05-08,1.39
192CRD,fhealy5b@miibeian.gov.cn,2024-02-28,4.1
193CRD,cgwilt5c@newsvine.com,2023-10-30,8.47
194CRD,gpollie5d@sfgate.com,2022-11-24,19.71
195CRD,bfairhead5e@reference.com,2023-03-24,6.51
196CRD,dgehrts5f@cnbc.com,2023-02-28,0.1
197CRD,aducker5g@jalbum.net,2023-05-15,21.76
198CRD,bwandless5h@spotify.com,2023-11-04,3.09
199CRD,dwakeham5i@tinypic.com,2022-12-12,24.58
200CRD,ggreatbanks5j@deliciousdays.com,2022-12-30,11.43
