bookingID,availability,subject,TutorName,TutorEmail,location,capacity,room_feautres,roomName,dateBooked,bookingType
100BK,0,French,"Zane Puckett",zpuckett2r@dropbox.com,"lower floor right wing",10,whiteboard,"Room C",2023-01-18,"room and tutor"
101BK,0,History,"Billie Tayspell",btayspell2s@slashdot.org,"lower floor right wing",2,whiteboard,"Room D",2023-12-21,"room and tutor"
102BK,0,Programming,"Guillema Lidgley",glidgley2t@bloglovin.com,"upper floor main",3,whiteboard,"Room D",2023-09-11,"room and tutor"
103BK,1,Science,"Maressa Alabastar",malabastar2u@tmall.com,"upper floor main",3,"tv and whiteboard","Room C",2023-02-21,"room and tutor"
104BK,1,English,"Garv McAuliffe",gmcauliffe2v@paginegialle.it,"lower floor right wing",7,tv,"Room B",2023-07-26,tutor
105BK,0,History,"Gordie O'Henehan",gohenehan2w@etsy.com,"lower floor left wing",3,tv,"Room C",2023-12-03,room
106BK,0,Programming,"Lindie Dawby",ldawby2x@pen.io,"upper floor left wing",5,"speakers and  projector","Room A",2023-11-26,"room and tutor"
107BK,0,Science,"Reggis Beiderbeck",rbeiderbeck2y@networksolutions.com,"lower floor right wing",3,"speakers and  projector","Room D",2023-06-04,room
108BK,1,History,"Vaughan Deerness",vdeerness2z@newyorker.com,"lower floor left wing",3,"tv and whiteboard","Room B",2023-10-17,tutor
109BK,0,Programming,"Erasmus Szubert",eszubert30@nba.com,"upper floor right wing",3,whiteboard,"Room D",2023-10-15,room
10BK,1,Math,"Dav Goggen",dgoggen9@cmu.edu,"lower floor right wing",4,tv,"Room A",2023-01-12,room
110BK,1,French,"Sella Witton",switton31@microsoft.com,"upper floor right wing",4,"tv and whiteboard","Room A",2023-09-06,room
111BK,1,Math,"Mora Wordesworth",mwordesworth32@house.gov,"lower floor left wing",2,tv,"Room B",2023-05-01,tutor
112BK,0,History,"Fallon Yousef",fyousef33@usa.gov,"upper floor right wing",5,tv,"Room A",2023-02-02,room
113BK,1,History,"Townie Randles",trandles34@ucoz.com,"lower floor main",10,"tv and whiteboard","Room D",2023-01-17,"room and tutor"
114BK,1,History,"Terrance Rathke",trathke35@addtoany.com,"upper floor left wing",8,tv,"Room D",2023-07-13,room
115BK,0,Science,"Hester Whipple",hwhipple36@wix.com,"upper floor right wing",2,whiteboard,"Room C",2023-02-22,"room and tutor"
116BK,0,Science,"Arley Sabin",asabin37@engadget.com,"upper floor main",7,"tv and whiteboard","Room B",2023-05-18,tutor
117BK,1,Math,"Anita Hambelton",ahambelton38@wikia.com,"lower floor main",3,tv,"Room B",2023-07-01,room
118BK,0,Science,"Althea Lardnar",alardnar39@themeforest.net,"lower floor left wing",8,"speakers and  projector","Room C",2023-09-30,"room and tutor"
119BK,0,Math,"Rosana Queen",rqueen3a@salon.com,"upper floor right wing",2,"speakers and  projector","Room D",2023-01-23,tutor
11BK,0,Programming,"Kelby Nordass",knordassa@huffingtonpost.com,"lower floor left wing",2,tv,"Room B",2023-07-25,"room and tutor"
120BK,1,English,"Zach Woodward",zwoodward3b@squarespace.com,"upper floor right wing",2,whiteboard,"Room C",2023-04-29,tutor
121BK,1,Physics,"Harvey Pendrick",hpendrick3c@google.com.au,"upper floor right wing",5,"speakers and  projector","Room B",2023-12-18,"room and tutor"
122BK,1,History,"Madge Perview",mperview3d@list-manage.com,"lower floor main",4,"tv and whiteboard","Room C",2023-12-22,tutor
123BK,1,Math,"Jens Koppen",jkoppen3e@kickstarter.com,"lower floor left wing",5,whiteboard,"Room C",2023-07-26,room
124BK,0,History,"Garey Nice",gnice3f@opera.com,"upper floor left wing",8,"tv and whiteboard","Room C",2023-04-03,"room and tutor"
125BK,1,English,"Hildegarde Solway",hsolway3g@latimes.com,"lower floor main",3,"tv and whiteboard","Room A",2023-01-07,room
